46,24,21,46,60,47,26,89,71,56,60,75,48,30,82,86,4,26,71,64,40,50,92,25,40,65,83,84,35,73,65,61,75,38,8,36,20,1,30,25,67,79,9,45,37,8,38,36,11,3
92,81,4,56,68,40,50,41,19,78,21,13,51,93,68,16,62,96,98,90,43,69,74,56,28,26,98,18,68,47,46,12,34,41,54,67,83,66,70,80,44,45,60,25,32,52,59,59,56,46
100,7,35,1,41,25,1,64,74,91,38,80,2,87,83,31,68,24,47,9,9,51,21,19,91,68,54,28,53,66,43,35,20,78,93,26,20,13,60,6,56,28,38,15,93,15,21,66,67,67
20,37,69,2,66,58,67,29,45,46,65,86,19,56,27,43,45,87,69,19,57,12,19,15,75,72,10,75,57,72,87,54,46,19,94,90,6,19,35,63,36,2,19,89,2,49,10,89,25,17
78,20,60,41,19,9,7,6,77,82,21,50,47,14,77,89,45,15,4,60,51,71,88,18,41,32,43,90,47,8,71,72,44,63,20,63,88,30,38,57,6,12,66,88,60,35,66,66,17,37
29,6,61,92,43,94,14,79,58,32,70,71,14,70,63,88,96,80,79,14,23,88,78,50,66,92,33,35,5,51,5,40,99,26,15,72,22,89,46,62,72,22,86,12,99,18,34,5,90,18
83,65,28,28,9,51,33,80,40,21,29,23,41,69,27,59,37,23,53,46,60,23,90,33,37,29,93,72,69,81,97,71,51,85,50,55,61,43,60,72,87,96,47,17,93,7,8,10,39,12
59,87,87,59,73,80,81,7,81,53,38,86,60,10,73,93,18,21,55,36,3,100,89,93,10,66,64,64,84,94,48,25,79,27,53,54,81,14,43,26,56,18,58,21,25,73,19,20,98,14
40,48,27,75,50,49,18,27,75,94,20,15,77,4,12,40,61,87,62,26,39,39,86,66,63,58,96,73,10,47,58,53,38,70,82,53,9,92,23,34,12,33,46,30,60,51,92,11,12,70
41,7,62,27,82,96,85,27,96,24,91,98,65,89,61,26,86,18,98,73,40,76,48,17,35,48,17,26,97,93,74,32,50,2,13,53,35,88,84,52,24,16,76,27,47,97,11,97,72,8
